# Stellar spectrum generated with Kurucz-Korg pipeline
# Teff=5777.0 K, logg=4.44, [Fe/H]=0.0, [α/Fe]=0.0
# Wavelength(Angstrom)  Flux  Continuum
9000.0  3.94721897192397e6  3.9561850631902055e6
9000.5  3.9462978445418063e6  3.9557577542683557e6
9001.0  3.9453426045302986e6  3.9553304865943827e6
9001.5  3.944307767902253e6  3.954903352019134e6
9002.0  3.94327104747187e6  3.9544762583127124e6
9002.5  3.942174843626457e6  3.954049453475611e6
9003.0  3.94101090484479e6  3.95362268928903e6
9003.5  3.9281406375495302e6  3.953195940072908e6
9004.0  3.9372522046859353e6  3.9527692317737006e6
9004.5  3.937108846223147e6  3.9523425454368563e6
9005.0  3.935783366670951e6  3.95191589988907e6
9005.5  3.933517804849199e6  3.9514893660941776e6
9006.0  3.9323663804772696e6  3.951062873159441e6
9006.5  3.9301443876218675e6  3.950636414956332e6
9007.0  3.9280290908509945e6  3.9502099971819464e6
9007.5  3.908409310073798e6  3.949783556468579e6
9008.0  3.9242270382594103e6  3.949357156772519e6
9008.5  3.9220083310598894e6  3.9489305677664396e6
9009.0  3.9172438485227358e6  3.9485040196594624e6
9009.5  3.9143920790766394e6  3.948077492566262e6
9010.0  3.9102691330883102e6  3.9476510065279137e6
9010.5  3.8776522558003175e6  3.947224428845968e6
9011.0  2.693666914869783e6  3.9467978921163715e6
9011.5  3.8849369143236713e6  3.946371246381179e6
9012.0  3.8851850744777615e6  3.945944641538724e6
9012.5  3.8643924612166747e6  3.9455180542625105e6
9013.0  3.141842471166525e6  3.9450915082198884e6
9013.5  3.874488735561795e6  3.9446650205922825e6
9014.0  3.8633048900786024e6  3.9442385738803633e6
9014.5  2.50694472381219e6  3.943812157909745e6
9015.0  3.8389633958470956e6  3.9433857828494003e6
9015.5  3.829931478806788e6  3.942959411317879e6
9016.0  3.812020687046054e6  3.9425330804962483e6
9016.5  3.111456646949455e6  3.942106486105175e6
9017.0  3.774040810855934e6  3.941679932761353e6
9017.5  3.747408233579118e6  3.9412533975301282e6
9018.0  3.7769714264131333e6  3.9408269034622903e6
9018.5  3.77024577388074e6  3.9404006169909006e6
9019.0  3.812789050270852e6  3.939974371593272e6
9019.5  2.526629479673009e6  3.939548655349882e6
9020.0  3.8431933075340632e6  3.9391229804285443e6
9020.5  3.8540069921587887e6  3.9386974773518457e6
9021.0  3.86414188728672e6  3.938272014806431e6
9021.5  3.872515048929457e6  3.937851914845287e6
9022.0  3.87392728865653e6  3.9374318542179363e6
